,roles,companies,locations,experience,skills
0,Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
1,Data Scientist,Bigshyft Hiring for Decision Point Analytics,Gurgaon,2-5 Yrs,"Java
Hadoop
Data Mining
Python
SQL"
2,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
3,Senior Data Scientist - IIT/NIT/BITS,AlgonoX Technologies,Hyderabad,2-5 Yrs,"Data Science
Java
C++
Docker
Artificial Intelligence
Image Processing
Text Analytics
Natural Language Processing"
4,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
5,Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Ahmedabad,2-5 Yrs,"Predictive Modeling
XGBoost
Time Series Analysis
Time Series
Machine Learning
Modeling
Python"
6,Senior Data Scientist,Varite,Hyderabad,1-7 Yrs,"deep learning
Operations research
data science
SSRS
Machine learning
power bi
data integrity
SQL Server reporting services"
7,Data Scientist - Sr. Analyst,Societe Generale Global Solution Centre Pvt Ltd,Bengaluru,2-4 Yrs,"Workflow Analysis
VBA
Finance
Banking
Client Reporting
Budget Management
Advanced Excel
Dashboards"
8,Data Scientist,Optum Global Solutions (India) Private Limited,Bengaluru,5-7 Yrs,"Predictive Modeling
Hadoop
Operations Research
Problem Solving
Keras
Machine Learning
Numpy
Python"
9,Principal Data Scientist,IBM India Pvt. Limited,Bengaluru,6-10 Yrs,"Lstm
Text Analytics
Artificial Intelligence
Natural Language Processing
Scikit-learn
Text Mining
Machine Learning
Deep Learning"
10,Opening For Data Scientist - Birlasoft - Pune,BIRLASOFT LIMITED,Pune,15-20 Yrs,"Data Mining
Glm
Text Mining
Machine Learning
Statistics
Random Forest
R
NLP"
11,Senior Data Scientist,Varite India Pvt. Ltd.,Hyderabad,5-10 Yrs,"Power Bi
Artificial Intelligence
SSRS
SQL Server
Machine Learning
Statistics
Data Science
Azure ML"
12,Data Scientist,Sumati (An Elevate Business),Chandigarh,4-7 Yrs,"Data Structures
Web Services Testing
Legal
Natural Language Processing
Data Mining
Data Visualization
Information Retrieval
Machine Learning"
13,Data Scientist,Impact HR Services Pvt.Ltd.,Bengaluru,6-10 Yrs,"Application Development
Data Engineering
Data Wrangling
Machine Learning
Deep Learning
Python"
14,"Manager, Data Scientist || Fiserv || Chennai Location",Fiserv India Pvt Ltd,Chennai,15-24 Yrs,"Predictive Modeling
R
Requirement Gathering
Hadoop
Big Data
Data Mining
New Business
Business Development"
15,Sr. Data Scientist,Orcapod Consulting Services Private Limited,Bengaluru,6-10 Yrs,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
16,Senior Data Scientist,Johnson Controls India Private Limited,Bengaluru(Whitefield),5-6 Yrs,"NLP
Image Processing
Natural Language Processing
Text Mining
Computer Vision
Machine Learning"
17,Data Scientist- NLP/Deep Learning- Mumbai (5+ years).,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Mumbai,5-8 Yrs,"Data Science
NLP
Deep Learning
Java
Algorithms
Artificial Intelligence
Data Structures
Statistics"
18,Data Scientist,Incedo Technology Solutions Ltd.,"Pune, Delhi NCR",5-10 Yrs,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
19,Data Scientist (Machine Learning)/Artificial Intelligence,GrayRipples.com,"Bengaluru, Hyderabad",1-6 Yrs,"Artificial Intelligence
Machine Learning"
20,Data Scientist/ Academic Counselor,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Chennai, Bengaluru",2-7 Yrs,"Data Science
Artificial Intelligence
training
Tableau
Machine Learning
Python
sql"
21,Data Scientist,Bigshyft Hiring for Decision Point Analytics,Gurgaon,2-5 Yrs,"Java
Hadoop
Data Mining
Python
SQL"
22,Data Scientist,Shell India Markets Private Limited,Chennai,5-7 Yrs,"Data Science
Multivariate Analysis
Factor Analysis
Natural Language Processing
Reinforcement Learning
Neural Networks
Market Basket Analysis
Decision Trees"
23,"Data Scientist, NLP",Fractal Analytics Ltd,Bengaluru,3-7 Yrs,"deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
24,Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,Ahmedabad,2-5 Yrs,"Predictive Modeling
XGBoost
Time Series Analysis
Time Series
Machine Learning
Modeling
Python"
25,Senior Data Scientist,Varite,Hyderabad,1-7 Yrs,"deep learning
Operations research
data science
SSRS
Machine learning
power bi
data integrity
SQL Server reporting services"
26,Data Scientist - Sr. Analyst,Societe Generale Global Solution Centre Pvt Ltd,Bengaluru,2-4 Yrs,"Workflow Analysis
VBA
Finance
Banking
Client Reporting
Budget Management
Advanced Excel
Dashboards"
27,Data Scientist,Optum Global Solutions (India) Private Limited,Bengaluru,5-7 Yrs,"Predictive Modeling
Hadoop
Operations Research
Problem Solving
Keras
Machine Learning
Numpy
Python"
